timestamp,cluster_size,operation,index,success,latency_ms,error
2026-06-26T15:37:43.2904517Z,7,put,228,true,109.485,
2026-06-26T15:37:43.3995178Z,7,put,229,true,109.066,
2026-06-26T15:37:43.5170292Z,7,put,230,true,117.511,
2026-06-26T15:37:43.6281444Z,7,put,231,true,111.115,
2026-06-26T15:37:43.7394938Z,7,put,232,true,111.349,
2026-06-26T15:37:43.8484858Z,7,put,233,true,108.992,
2026-06-26T15:37:43.9563153Z,7,put,234,true,107.829,
2026-06-26T15:37:44.0746865Z,7,put,235,true,117.405,
2026-06-26T15:37:44.1860328Z,7,put,236,true,111.346,
2026-06-26T15:37:44.2953358Z,7,put,237,true,109.303,
2026-06-26T15:37:44.4073134Z,7,put,238,true,111.977,
2026-06-26T15:37:44.5242462Z,7,put,239,true,116.932,
2026-06-26T15:37:44.6359141Z,7,put,240,true,111.667,
2026-06-26T15:37:44.7497537Z,7,put,241,true,113.839,
2026-06-26T15:37:44.8602573Z,7,put,242,true,110.503,
2026-06-26T15:37:44.9716187Z,7,put,243,true,111.361,
2026-06-26T15:37:45.082649Z,7,put,244,true,110.383,
2026-06-26T15:37:45.1955472Z,7,put,245,true,112.898,
2026-06-26T15:37:45.3054983Z,7,put,246,true,109.951,
2026-06-26T15:37:45.4200377Z,7,put,247,true,114.539,
2026-06-26T15:37:45.5333934Z,7,put,248,true,113.355,
2026-06-26T15:37:45.6448663Z,7,put,249,true,111.472,
2026-06-26T15:37:45.7559637Z,7,put,250,true,111.097,
2026-06-26T15:37:45.8656852Z,7,put,251,true,109.721,
2026-06-26T15:37:45.9804452Z,7,put,252,true,114.760,
2026-06-26T15:37:46.0897414Z,7,put,253,true,109.296,
2026-06-26T15:37:46.2020122Z,7,put,254,true,112.270,
2026-06-26T15:37:46.3195034Z,7,put,255,true,117.491,
2026-06-26T15:37:46.4307923Z,7,put,256,true,111.288,
2026-06-26T15:37:46.5473137Z,7,put,257,true,116.521,
2026-06-26T15:37:46.6579569Z,7,put,258,true,110.643,
2026-06-26T15:37:46.7684062Z,7,put,259,true,110.449,
2026-06-26T15:37:46.8838981Z,7,put,260,true,115.491,
2026-06-26T15:37:46.9965206Z,7,put,261,true,112.622,
2026-06-26T15:37:47.1077261Z,7,put,262,true,111.205,
2026-06-26T15:37:47.2195906Z,7,put,263,true,111.864,
2026-06-26T15:37:47.3305581Z,7,put,264,true,110.967,
2026-06-26T15:37:47.4417355Z,7,put,265,true,111.177,
2026-06-26T15:37:47.5553686Z,7,put,266,true,113.633,
2026-06-26T15:37:47.6662524Z,7,put,267,true,110.883,
2026-06-26T15:37:47.7772989Z,7,put,268,true,111.046,
2026-06-26T15:37:47.8885555Z,7,put,269,true,111.256,
2026-06-26T15:37:48.0040539Z,7,put,270,true,115.498,
2026-06-26T15:37:48.1144917Z,7,put,271,true,110.437,
2026-06-26T15:37:48.2253586Z,7,put,272,true,110.866,
2026-06-26T15:37:48.3372662Z,7,put,273,true,111.907,
2026-06-26T15:37:48.4500495Z,7,put,274,true,112.783,
2026-06-26T15:37:48.569595Z,7,put,275,true,119.545,
2026-06-26T15:37:48.6820635Z,7,put,276,true,112.468,
2026-06-26T15:37:48.7921377Z,7,put,277,true,110.074,
2026-06-26T15:37:48.9024164Z,7,put,278,true,110.278,
2026-06-26T15:37:49.0215463Z,7,put,279,true,119.129,
